Timesheet ID Num Staff ID Num Start Date/Time    End Date/Time  Payment Amount
       481           229      01.09.2015 11:30 01.09.2015 14:30 $
       482           233      01.09.2015 11:30 01.09.2015 14:30 $
       483           234      01.09.2015 12:00 01.09.2015 15:00 $
       484           240      01.09.2015 12:00 01.09.2015 16:00 $
       485           244      01.09.2015 12:00 01.09.2015 14:00 $
       486           246      01.09.2015 12:30 01.09.2015 17:30 $
       487           248      01.09.2015 12:30 01.09.2015 20:30 $
       488           249      01.09.2015 12:30 01.09.2015 17:30 $
       489           245      01.09.2015 13:00 01.09.2015 16:00 $
       490           236      01.09.2015 14:00 01.09.2015 20:00 $
       491           247      01.09.2015 14:00 01.09.2015 18:00 $
       492            91       02.09.2015 8:00 02.09.2015 11:00 $
       493            92       02.09.2015 8:30 02.09.2015 12:30 $
       494            94       02.09.2015 8:30 02.09.2015 14:30 $
       495           144       02.09.2015 8:30 02.09.2015 10:30 $
       496           151       02.09.2015 9:30 02.09.2015 11:30 $
       497           211       02.09.2015 9:30 02.09.2015 14:30 $
       498           224       02.09.2015 9:30 02.09.2015 13:30 $
       499           237      02.09.2015 10:00 02.09.2015 14:00 $
       500           209      02.09.2015 10:30 02.09.2015 12:30 $
       501           229      02.09.2015 10:30 02.09.2015 17:30 $
       502           233      02.09.2015 11:00 02.09.2015 14:00 $
       503           234      02.09.2015 11:30 02.09.2015 15:30 $
       504           240      02.09.2015 11:30 02.09.2015 17:30 $
       505           244      02.09.2015 12:00 02.09.2015 15:00 $
       506           249      02.09.2015 13:00 02.09.2015 21:00 $
       507            91       03.09.2015 8:00 03.09.2015 12:00 $
       508            92       03.09.2015 8:30 03.09.2015 12:30 $
       509            94       03.09.2015 9:00 03.09.2015 17:00 $
       510           144       03.09.2015 9:30 03.09.2015 16:30 $
       511           151       03.09.2015 9:30 03.09.2015 17:30 $
       512           211       03.09.2015 9:30 03.09.2015 16:30 $
       513           224       03.09.2015 9:30 03.09.2015 11:30 $
       514           237      03.09.2015 10:30 03.09.2015 14:30 $
       515           209      03.09.2015 11:00 03.09.2015 13:00 $
       516           229      03.09.2015 11:00 03.09.2015 13:00 $
       517           233      03.09.2015 12:30 03.09.2015 18:30 $
       518           234      03.09.2015 13:00 03.09.2015 15:00 $
       519           240      03.09.2015 13:00 03.09.2015 17:00 $
       520           244      03.09.2015 13:00 03.09.2015 16:00 $
       521           248      03.09.2015 13:30 03.09.2015 21:30 $
       522           249      03.09.2015 13:30 03.09.2015 18:30 $
       523            91      04.09.2015 08:00 04.09.2015 10:00 $
       524            92      04.09.2015 08:00 04.09.2015 15:00 $
       525            94      04.09.2015 08:30 04.09.2015 12:30 $
       526           144      04.09.2015 08:30 04.09.2015 13:30 $
       527           151      04.09.2015 09:30 04.09.2015 14:30 $
       528           211      04.09.2015 11:00 04.09.2015 16:00 $
       529           224      04.09.2015 12:30 04.09.2015 19:30 $
       530           237      04.09.2015 12:30 04.09.2015 19:30 $
       531           248      04.09.2015 12:30 04.09.2015 16:30 $
       532           245      04.09.2015 13:00 04.09.2015 16:00 $
       533           246      04.09.2015 13:00 04.09.2015 20:00 $
       534           236      04.09.2015 13:30 04.09.2015 18:30 $
       535           247      04.09.2015 14:00 04.09.2015 21:00 $
       536            91      05.09.2015 08:00 05.09.2015 13:00 $
       537            92      05.09.2015 08:30 05.09.2015 13:30 $
       538            94      05.09.2015 09:00 05.09.2015 12:00 $
       539           144      05.09.2015 09:00 05.09.2015 15:00 $
       540           151      05.09.2015 10:30 05.09.2015 15:30 $
       541           211      05.09.2015 11:00 05.09.2015 18:00 $
       542           224      05.09.2015 11:00 05.09.2015 15:00 $
       543           237      05.09.2015 12:00 05.09.2015 16:00 $
       544           209      05.09.2015 12:30 05.09.2015 16:30 $
       545           229      05.09.2015 13:30 05.09.2015 17:30 $
       546           233      05.09.2015 13:30 05.09.2015 17:30 $
       547           234      05.09.2015 13:30 05.09.2015 17:30 $
       548           240      05.09.2015 14:00 05.09.2015 22:00 $
       549           244      05.09.2015 14:00 05.09.2015 18:00 $
 TOTAL ENTRIES:  549
